iter	Passed	Remaining
440	1311	1662
441	1314	1659
442	1317	1656
443	1320	1653
444	1323	1650
445	1326	1647
446	1329	1644
447	1331	1640
448	1335	1638
449	1338	1635
450	1341	1633
451	1344	1629
452	1347	1626
453	1350	1623
454	1353	1621
455	1357	1618
456	1359	1615
457	1363	1613
458	1366	1610
459	1369	1607
460	1372	1604
461	1375	1601
462	1378	1598
463	1381	1595
464	1384	1592
465	1387	1589
466	1390	1586
467	1392	1583
468	1395	1580
469	1398	1577
470	1401	1574
471	1404	1571
472	1407	1567
473	1410	1564
474	1413	1562
475	1416	1558
476	1418	1555
477	1421	1551
478	1423	1548
479	1426	1545
480	1429	1541
481	1431	1538
482	1433	1534
483	1436	1531
484	1439	1528
485	1441	1524
486	1444	1521
487	1446	1518
488	1449	1514
489	1451	1511
490	1454	1507
491	1456	1504
492	1459	1500
493	1461	1497
494	1464	1493
495	1466	1490
496	1469	1486
497	1471	1483
498	1474	1480
499	1476	1476
500	1479	1473
501	1481	1469
502	1484	1466
503	1487	1463
504	1489	1460
505	1492	1457
506	1494	1453
507	1497	1450
508	1500	1447
509	1503	1444
510	1505	1440
511	1508	1437
512	1510	1434
513	1513	1431
514	1516	1427
515	1518	1424
516	1521	1421
517	1523	1417
518	1526	1414
519	1529	1411
520	1531	1408
521	1534	1404
522	1536	1401
523	1539	1398
524	1541	1394
525	1544	1391
526	1546	1388
527	1549	1384
528	1551	1381
529	1554	1378
530	1556	1374
531	1559	1371
532	1561	1368
533	1564	1365
534	1566	1361
535	1569	1358
536	1571	1355
537	1574	1351
538	1576	1348
539	1579	1345
540	1582	1342
541	1584	1339
542	1587	1335
543	1589	1332
544	1592	1329
545	1595	1326
546	1598	1323
547	1600	1320
548	1604	1317
549	1607	1314
550	1610	1312
551	1613	1309
552	1615	1306
553	1619	1303
554	1622	1300
555	1625	1298
556	1628	1295
557	1631	1292
558	1634	1289
559	1638	1287
560	1641	1284
561	1644	1281
562	1647	1278
563	1650	1276
564	1653	1273
565	1656	1270
566	1659	1267
567	1662	1264
568	1665	1261
569	1668	1258
570	1671	1256
571	1674	1252
572	1677	1250
573	1680	1247
574	1683	1244
575	1687	1241
576	1689	1238
577	1692	1235
578	1695	1232
579	1698	1230
580	1702	1227
581	1705	1224
582	1708	1221
583	1711	1219
584	1715	1216
585	1718	1214
586	1721	1210
587	1724	1208
588	1727	1205
589	1731	1202
590	1734	1200
591	1737	1197
592	1740	1194
593	1743	1191
594	1746	1188
595	1749	1185
596	1752	1182
597	1754	1179
598	1757	1176
599	1760	1173
600	1763	1170
601	1765	1167
602	1768	1164
603	1771	1161
604	1773	1158
605	1776	1155
606	1779	1151
607	1781	1148
608	1784	1145
609	1786	1142
610	1789	1139
611	1792	1136
612	1794	1132
613	1797	1129
614	1799	1126
615	1802	1123
616	1805	1120
617	1807	1117
618	1810	1114
619	1813	1111
620	1815	1108
621	1818	1104
622	1820	1101
623	1823	1098
624	1825	1095
625	1828	1092
626	1831	1089
627	1834	1086
628	1836	1083
629	1839	1080
630	1842	1077
631	1844	1074
632	1847	1070
633	1849	1067
634	1852	1064
635	1854	1061
636	1857	1058
637	1860	1055
638	1862	1052
639	1865	1049
640	1868	1046
641	1870	1043
642	1873	1040
643	1876	1037
644	1878	1034
645	1881	1030
